
running 1 test
test ordinary_carriers::literal_tests::decimal_fixed_format_tests::csharp_03_t06_w09_decimal_fixed_formats_original_sources ... decimal format source binding-vc-money: 34535 terms
decimal format source boundary-map-decimal: 34535 terms
decimal format source boundary-set-decimal: 34535 terms
decimal format source complete-snapshot: 34535 terms
decimal format source literal-decimal: 34535 terms
decimal format source literal-product: 34535 terms
decimal fixed ToEven target 0: sign=false, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToZero target 1: sign=true, scale=1, coefficient=35
decimal fixed ToZero target 1: sign=true, scale=2, coefficient=125
decimal fixed ToZero target 1: sign=true, scale=3, coefficient=2501
decimal fixed ToZero target 1: sign=true, scale=28, coefficient=0
decimal fixed ToZero target 1: sign=true, scale=28, coefficient=1
decimal fixed ToZero target 1: sign=true, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToZero target 2: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 3: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 4: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 5: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 6: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 7: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 8: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 9: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 10: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 11: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 12: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 13: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 14: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 15: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 16: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 17: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 18: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 19: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 20: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 21: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 22: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 23: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 24: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 25: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 26: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 27: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 28: sign=false, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToZero target 28: sign=false, scale=1, coefficient=25
decimal fixed ToZero target 28: sign=false, scale=1, coefficient=35
decimal fixed ToZero target 28: sign=false, scale=2, coefficient=125
decimal fixed ToZero target 28: sign=false, scale=3, coefficient=2501
decimal fixed ToZero target 28: sign=false, scale=28, coefficient=1
decimal fixed ToZero target 28: sign=false, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToZero target 28: sign=true, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToZero target 28: sign=true, scale=1, coefficient=25
decimal fixed ToZero target 28: sign=true, scale=1, coefficient=35
decimal fixed ToZero target 28: sign=true, scale=2, coefficient=125
decimal fixed ToZero target 28: sign=true, scale=3, coefficient=2501
decimal fixed ToZero target 28: sign=true, scale=28, coefficient=0
decimal fixed ToZero target 28: sign=true, scale=28, coefficient=1
decimal fixed ToZero target 28: sign=true, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 0: sign=false, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 0: sign=false, scale=1, coefficient=25
decimal fixed ToNegativeInfinity target 0: sign=false, scale=1, coefficient=35
decimal fixed ToNegativeInfinity target 0: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 0: sign=false, scale=3, coefficient=2501
decimal fixed ToNegativeInfinity target 0: sign=false, scale=28, coefficient=1
decimal fixed ToNegativeInfinity target 0: sign=false, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 0: sign=true, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 0: sign=true, scale=1, coefficient=25
decimal fixed ToNegativeInfinity target 0: sign=true, scale=1, coefficient=35
decimal fixed ToNegativeInfinity target 0: sign=true, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 0: sign=true, scale=3, coefficient=2501
decimal fixed ToNegativeInfinity target 0: sign=true, scale=28, coefficient=0
decimal fixed ToNegativeInfinity target 0: sign=true, scale=28, coefficient=1
decimal fixed ToNegativeInfinity target 0: sign=true, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 1: sign=false, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 1: sign=false, scale=1, coefficient=25
decimal fixed ToNegativeInfinity target 1: sign=false, scale=1, coefficient=35
decimal fixed ToNegativeInfinity target 1: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 1: sign=false, scale=3, coefficient=2501
decimal fixed ToNegativeInfinity target 1: sign=false, scale=28, coefficient=1
decimal fixed ToNegativeInfinity target 1: sign=false, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 1: sign=true, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 1: sign=true, scale=1, coefficient=25
decimal fixed ToNegativeInfinity target 1: sign=true, scale=1, coefficient=35
decimal fixed ToNegativeInfinity target 1: sign=true, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 1: sign=true, scale=3, coefficient=2501
decimal fixed ToNegativeInfinity target 1: sign=true, scale=28, coefficient=0
decimal fixed ToNegativeInfinity target 1: sign=true, scale=28, coefficient=1
decimal fixed ToNegativeInfinity target 1: sign=true, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 2: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 3: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 4: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 5: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 6: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 7: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 8: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 9: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 10: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 11: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 12: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 13: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 14: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 15: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 16: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 17: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 18: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 19: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 20: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 21: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 22: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 23: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 24: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 25: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 26: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 27: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 28: sign=false, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 28: sign=false, scale=1, coefficient=25
decimal fixed ToNegativeInfinity target 28: sign=false, scale=1, coefficient=35
decimal fixed ToNegativeInfinity target 28: sign=false, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 28: sign=false, scale=3, coefficient=2501
decimal fixed ToNegativeInfinity target 28: sign=false, scale=28, coefficient=1
decimal fixed ToNegativeInfinity target 28: sign=false, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 28: sign=true, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToNegativeInfinity target 28: sign=true, scale=1, coefficient=25
decimal fixed ToNegativeInfinity target 28: sign=true, scale=1, coefficient=35
decimal fixed ToNegativeInfinity target 28: sign=true, scale=2, coefficient=125
decimal fixed ToNegativeInfinity target 28: sign=true, scale=3, coefficient=2501
decimal fixed ToNegativeInfinity target 28: sign=true, scale=28, coefficient=0
decimal fixed ToNegativeInfinity target 28: sign=true, scale=28, coefficient=1
decimal fixed ToNegativeInfinity target 28: sign=true, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToPositiveInfinity target 0: sign=false, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToPositiveInfinity target 0: sign=false, scale=1, coefficient=25
decimal fixed ToPositiveInfinity target 0: sign=false, scale=1, coefficient=35
decimal fixed ToPositiveInfinity target 0: sign=false, scale=2, coefficient=125
decimal fixed ToPositiveInfinity target 0: sign=false, scale=3, coefficient=2501
decimal fixed ToPositiveInfinity target 0: sign=false, scale=28, coefficient=1
decimal fixed ToPositiveInfinity target 0: sign=false, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToPositiveInfinity target 0: sign=true, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToPositiveInfinity target 0: sign=true, scale=1, coefficient=25
decimal fixed ToPositiveInfinity target 0: sign=true, scale=1, coefficient=35
decimal fixed ToPositiveInfinity target 0: sign=true, scale=2, coefficient=125
decimal fixed ToPositiveInfinity target 0: sign=true, scale=3, coefficient=2501
